metric,model,quantile,value,version,timestamp
nv_inference_request_success,titanic,,1,1.0,2025-06-27 06:32:53.103756
nv_inference_request_failure,titanic,,0,1.0,2025-06-27 06:33:53.103756
nv_inference_count,titanic,,1,1.0,2025-06-27 06:34:53.103756
nv_inference_exec_count,titanic,,1,1.0,2025-06-27 06:35:53.103756
nv_inference_request_duration_us,titanic,,134324,1.0,2025-06-27 06:36:53.103756
nv_inference_queue_duration_us,titanic,,247,1.0,2025-06-27 06:37:53.103756
nv_inference_compute_input_duration_us,titanic,,1202,1.0,2025-06-27 06:38:53.103756
nv_inference_compute_infer_duration_us,titanic,,130703,1.0,2025-06-27 06:39:53.103756
nv_inference_compute_output_duration_us,titanic,,1593,1.0,2025-06-27 06:40:53.103756
nv_cpu_utilization,,,0.003775959723096287,,2025-06-27 06:41:53.103756
nv_cpu_memory_total_bytes,,,8308543488,,2025-06-27 06:42:53.103756
nv_cpu_memory_used_bytes,,,628924416,,2025-06-27 06:43:53.103756
nv_inference_request_summary_us_count,titanic,,1,1.0,2025-06-27 06:44:53.103756
nv_inference_request_summary_us_sum,titanic,,134324,1.0,2025-06-27 06:45:53.103756
nv_inference_request_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:46:53.103756
nv_inference_request_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:47:53.103756
nv_inference_request_summary_us,titanic,0.95,Nan,1.0,2025-06-27 06:48:53.103756
nv_inference_request_summary_us,titanic,0.99,Nan,1.0,2025-06-27 06:49:53.103756
nv_inference_queue_summary_us_count,titanic,,1,1.0,2025-06-27 06:50:53.103756
nv_inference_queue_summary_us_sum,titanic,,247,1.0,2025-06-27 06:51:53.103756
nv_inference_queue_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:52:53.103756
nv_inference_queue_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:53:53.103756
nv_inference_queue_summary_us,titanic,0.95,Nan,1.0,2025-06-27 06:54:53.103756
nv_inference_queue_summary_us,titanic,0.99,Nan,1.0,2025-06-27 06:55:53.103756
nv_inference_compute_input_summary_us_count,titanic,,1,1.0,2025-06-27 06:56:53.103756
nv_inference_compute_input_summary_us_sum,titanic,,1202,1.0,2025-06-27 06:57:53.103756
nv_inference_compute_input_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:58:53.103756
nv_inference_compute_input_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:59:53.103756
nv_inference_compute_input_summary_us,titanic,0.95,Nan,1.0,2025-06-27 07:00:53.103756
nv_inference_compute_input_summary_us,titanic,0.99,Nan,1.0,2025-06-27 07:01:53.103756
nv_inference_compute_infer_summary_us_count,titanic,,1,1.0,2025-06-27 07:02:53.103756
nv_inference_compute_infer_summary_us_sum,titanic,,130703,1.0,2025-06-27 07:03:53.103756
nv_inference_compute_infer_summary_us,titanic,0.5,Nan,1.0,2025-06-27 07:04:53.103756
nv_inference_compute_infer_summary_us,titanic,0.9,Nan,1.0,2025-06-27 07:05:53.103756
nv_inference_compute_infer_summary_us,titanic,0.95,Nan,1.0,2025-06-27 07:06:53.103756
nv_inference_compute_infer_summary_us,titanic,0.99,Nan,1.0,2025-06-27 07:07:53.103756
nv_inference_compute_output_summary_us_count,titanic,,1,1.0,2025-06-27 07:08:53.103756
nv_inference_compute_output_summary_us_sum,titanic,,1593,1.0,2025-06-27 07:09:53.103756
nv_inference_compute_output_summary_us,titanic,0.5,Nan,1.0,2025-06-27 07:10:53.103756
nv_inference_compute_output_summary_us,titanic,0.9,Nan,1.0,2025-06-27 07:11:53.103756
nv_inference_compute_output_summary_us,titanic,0.95,Nan,1.0,2025-06-27 07:12:53.103756
nv_inference_compute_output_summary_us,titanic,0.99,Nan,1.0,2025-06-27 07:13:53.103756
